"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12","sample-13","sample-14","sample-15","sample-16","sample-17","sample-18","sample-19","sample-20","sample-21","sample-22","sample-23","sample-24","sample-25","sample-26","sample-27","sample-28","sample-29","sample-30","sample-31","sample-32","sample-33","sample-34","sample-35","sample-36","sample-37","sample-38","sample-39","sample-40","sample-41","sample-42","sample-43","sample-44"
"Anaerovorax odorimutans et rel.",65,70,75,108,83,167,102,114,175,70,160,267,92,136,55,84,128,104,66,135,77,134,45,51,92,97,122,227,32,42,90,72,91,65,19,39,109,201,84,110,228,181,96,93
"Aneurinibacillus",9,8,9,8,5,5,16,18,36,26,27,16,38,59,9,12,12,17,57,71,17,13,24,9,22,23,3,9,6,8,24,22,14,16,11,21,22,39,15,16,47,32,1,1
"Aquabacterium",46,78,90,80,18,33,71,55,89,296,18,54,35,20,52,24,62,92,85,87,9,82,34,77,23,21,8,20,6,6,9,9,9,9,35,60,32,44,1,1,37,24,30,50
"Asteroleplasma et rel.",1,1,1,1,1,1,1,6,1,10,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Atopobium",7,7,67,52,2,4,12,9,1,1,17,25,1,1,8,18,25,3,14,12,9,3,1,1,30,20,41,32,1,1,15,20,11,20,1,5,11,25,28,23,25,20,32,28
"Bacillus",8,15,8,13,15,10,11,21,36,24,12,15,17,21,3,1,14,25,25,28,5,18,13,17,10,7,7,8,1,1,5,5,1,4,12,36,9,22,8,10,26,11,7,4
"Bacteroides fragilis et rel.",656,132,181,134,216,114,30,65,340,711,127,227,56,102,108,105,356,502,232,405,147,193,326,314,129,138,412,182,172,361,236,279,90,88,484,125,534,86,133,90,57,57,106,70
"Bacteroides intestinalis et rel.",949,516,281,376,294,124,463,1264,175,186,147,209,217,379,313,252,258,296,250,1190,101,125,680,567,92,103,1240,2854,327,745,204,339,86,58,819,105,1383,371,1234,1030,155,248,243,135
"Bacteroides ovatus et rel.",495,142,127,96,157,48,25,47,209,247,123,150,43,74,93,150,188,240,116,225,97,103,141,122,73,80,124,60,193,364,191,226,57,71,313,75,350,65,103,73,44,53,61,35
"Bacteroides plebeius et rel.",185,92,145,145,148,108,90,105,123,135,122,143,72,109,118,107,253,255,117,184,87,118,226,171,90,118,209,186,547,762,132,172,101,45,1308,189,254,78,148,135,59,64,135,179
"Bacteroides splachnicus et rel.",187,101,70,67,95,70,31,65,59,99,52,75,116,144,94,88,82,89,66,88,50,87,126,104,74,73,181,164,141,189,97,117,148,34,254,66,173,48,85,84,37,42,90,113
"Bacteroides stercoris et rel.",117,34,48,39,141,49,13,34,106,102,56,62,362,614,110,70,107,130,66,198,45,57,384,370,24,26,261,267,98,146,69,193,20,22,369,36,595,166,251,197,38,54,37,24
"Bacteroides uniformis et rel.",2460,572,550,802,302,193,94,136,706,960,302,464,67,123,341,223,863,1450,654,879,491,901,818,577,109,185,1931,820,743,1330,957,982,147,114,689,123,2085,293,613,424,664,658,124,136
"Bacteroides vulgatus et rel.",4683,1424,1896,1563,1851,738,564,3106,261,251,891,823,178,193,3429,5135,4857,3344,1873,4616,869,1174,4673,3928,454,648,5884,3091,1721,3627,3283,4661,244,251,2293,473,9735,647,1753,1338,121,132,577,1367
"Bifidobacterium",275,378,2230,1137,297,598,236,585,1473,1241,135,297,50,35,2446,2829,1621,714,1238,1111,709,1509,63,50,1059,747,2299,1827,568,797,413,724,519,417,844,2041,484,358,1169,1274,1041,1006,668,243
"Bilophila et rel.",5,20,21,16,1,1,5,17,7,7,1,14,4,4,1,1,7,16,46,20,1,6,5,14,8,2,1,1,2,9,1,4,1,1,4,11,3,8,15,10,5,2,6,20
"Brachyspira",1,1,1,1,1,1,1,1,1,3,1,10,1,1,1,1,4,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
"Bryantella formatexigens et rel.",348,571,356,392,300,409,440,394,272,354,553,398,791,475,274,232,288,317,446,337,288,219,442,547,321,498,75,95,221,243,399,412,309,461,410,530,249,244,262,251,374,498,267,355
"Bulleidia moorei et rel.",9,18,5,9,1,1,3,4,16,16,2,4,10,12,58,63,25,13,10,9,3,5,4,4,37,36,43,60,2,1,2,1,22,28,1,10,8,19,10,10,12,2,18,5
"Burkholderia",63,59,44,40,22,26,80,59,35,89,21,17,36,44,15,7,34,48,73,72,10,53,52,52,29,30,7,26,15,22,5,9,5,10,40,37,43,21,1,1,29,9,11,1
"Butyrivibrio crossotus et rel.",236,192,152,213,184,129,208,179,114,134,178,117,186,207,212,165,101,131,136,93,228,117,310,295,170,148,167,121,301,279,241,239,224,216,137,154,137,143,167,158,147,138,196,166
"Campylobacter",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Catenibacterium mitsuokai et rel.",20,11,12,11,18,21,5,6,23,12,11,3,2,1,221,130,16,22,22,20,2,1,19,7,14,20,13,1,56,62,6,13,142,859,17,51,11,36,16,8,19,14,10,1
"Clostridium (sensu stricto)",1,3,43,10,1,3,6,2,5,7,15,8,8,2,36,28,16,12,13,20,14,16,11,4,1,2,21,51,47,10,4,1,1,1,3,20,1,1,2,6,4,1,5,1
"Clostridium cellulosi et rel.",141,149,183,178,100,114,275,251,186,86,193,210,92,133,187,318,86,54,80,154,372,444,92,68,158,183,480,438,81,88,158,110,507,345,34,69,117,269,353,322,132,96,228,235
"Clostridium colinum et rel.",134,168,21,22,65,82,83,55,30,28,112,75,177,101,41,45,107,95,65,100,88,91,35,53,96,103,43,64,34,27,86,85,81,55,77,59,151,215,52,86,42,50,143,155
"Clostridium difficile et rel.",26,54,28,32,47,38,63,78,83,19,23,27,42,15,101,141,26,31,65,46,42,54,36,29,35,16,73,214,72,107,18,27,31,106,76,72,40,44,41,11,42,52,15,19
"Clostridium felsineum et rel.",1,3,31,9,1,1,4,4,8,5,1,1,10,1,3,7,11,6,8,25,4,4,6,10,1,6,3,42,14,6,1,1,1,1,1,11,1,1,1,7,3,4,1,1
"Clostridium leptum et rel.",232,249,319,257,161,191,560,542,160,81,511,609,153,221,142,294,303,146,118,207,564,757,220,127,161,166,927,857,127,88,437,197,353,172,60,139,87,280,750,714,398,330,424,393
"Clostridium nexile et rel.",502,549,746,959,698,848,769,797,1096,1146,796,581,541,556,497,741,902,1008,472,453,462,444,499,740,582,504,477,471,334,344,1009,1003,790,1009,710,989,961,1445,650,783,1986,1271,446,415
"Clostridium orbiscindens et rel.",256,204,122,137,158,182,220,199,192,169,231,239,315,372,173,258,237,223,320,337,225,263,154,154,106,116,445,548,173,157,206,171,179,162,78,68,155,316,222,224,264,239,313,284
"Clostridium ramosum et rel.",76,73,36,44,61,49,10,10,114,81,34,37,76,125,7,9,92,94,143,125,21,30,84,68,46,55,8,6,48,45,39,52,1,9,37,82,43,88,42,51,71,54,68,34
"Clostridium sphenoides et rel.",614,688,422,337,409,497,786,615,686,656,786,572,605,665,280,246,561,468,286,213,335,273,423,557,417,486,109,109,423,393,320,369,337,517,528,591,434,448,207,271,583,609,396,433
"Clostridium stercorarium et rel.",42,76,70,107,72,62,40,46,71,62,76,68,57,24,40,20,69,89,111,146,78,56,23,56,50,46,24,30,36,41,63,39,12,19,31,54,35,30,84,90,105,90,59,54
"Clostridium symbiosum et rel.",324,459,406,468,438,357,504,428,533,695,613,733,717,578,342,276,500,559,926,653,309,253,351,521,351,410,199,237,460,297,485,431,364,581,540,599,396,396,282,270,520,572,387,468
"Clostridium thermocellum et rel.",1,3,9,3,1,1,1,5,1,11,1,10,1,1,1,1,11,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,12,3
"Collinsella",90,158,218,186,16,25,70,139,49,51,104,122,50,48,59,106,29,28,34,35,56,104,74,117,152,183,212,178,60,65,144,167,198,242,30,32,148,204,120,118,53,39,96,87
"Coprobacillus catenaformis et rel.",100,119,47,53,104,91,1,9,133,182,40,38,4,8,10,11,79,88,100,86,41,52,136,125,64,74,9,10,54,49,41,58,1,22,43,102,85,193,33,40,62,45,80,46
"Coprococcus eutactus et rel.",499,751,1014,1124,1110,1324,796,667,1136,914,1095,807,1204,1198,505,587,732,804,486,567,1020,861,886,889,666,820,275,360,719,835,1006,851,1285,1789,945,1149,1027,1976,740,723,1700,1802,990,1395
"Corynebacterium",1,2,8,1,1,8,1,6,4,18,1,10,1,4,1,1,1,12,1,7,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,12
"Desulfovibrio et rel.",1,13,28,17,1,11,1,37,7,40,2,30,12,13,1,1,39,49,13,17,1,24,5,19,1,1,1,1,2,3,3,1,6,15,4,7,1,1,2,1,7,1,13,13
"Dialister",18,49,100,132,1,7,4,1,61,135,12,17,114,83,1,1,335,226,1,1,33,74,1,1,1,1,1,1,6,1,3,117,13,15,1,1,395,83,256,212,287,276,1,1
"Dorea formicigenerans et rel.",417,595,378,473,448,499,629,550,843,586,748,550,857,917,292,329,588,578,1192,1153,382,320,413,464,545,657,348,318,308,393,543,547,491,568,533,778,621,851,464,478,956,958,381,435
"Eggerthella lenta et rel.",13,23,25,21,35,51,36,47,65,69,16,46,47,45,28,45,41,32,41,35,3,17,25,41,24,22,48,66,2,5,13,19,30,43,5,15,23,19,76,83,51,35,26,27
"Enterobacter aerogenes et rel.",10,12,24,14,9,9,5,15,17,21,4,23,6,15,4,3,41,26,12,10,11,23,10,12,10,7,20,85,4,4,18,8,5,2,17,63,7,6,3,6,16,17,4,6
"Enterococcus",5,12,15,9,46,7,6,21,41,21,8,26,36,48,1,1,13,17,22,22,1,14,8,9,6,7,2,3,1,1,1,1,1,1,17,47,4,13,8,9,14,8,11,11
"Escherichia coli et rel.",1,1,2,1,1,5,2,7,15,4,1,17,4,1,2,63,3,5,9,2,1,1,5,2,1,1,308,8,1,1,1,8,1,1,4,12,1,6,1,2,10,1,1,1
"Eubacterium biforme et rel.",62,73,54,65,28,28,84,72,20,27,24,9,44,73,438,545,12,10,13,11,50,82,48,51,357,349,164,244,39,47,52,58,204,281,35,38,55,75,45,27,58,48,19,21
"Eubacterium cylindroides et rel.",1,1,1,2,2,5,1,1,72,50,6,25,221,192,1,1,17,12,49,76,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,48,13,2,1
"Eubacterium hallii et rel.",1326,1322,1285,888,1702,1907,1288,1147,2385,1205,2023,852,2893,2961,768,1191,1643,1363,1690,2181,883,1351,913,916,2245,2006,2078,2774,1461,923,1569,1465,1412,1570,1015,2117,955,1971,1832,2026,3375,2692,958,1122
"Eubacterium limosum et rel.",4,4,3,4,6,1,11,12,20,4,15,13,30,30,3,2,14,18,11,24,4,6,8,10,7,4,16,10,2,1,7,8,3,6,9,35,3,15,9,10,17,11,6,4
"Eubacterium rectale et rel.",516,501,376,424,445,322,614,453,398,427,578,234,537,428,402,328,236,448,256,220,499,205,395,526,841,880,268,248,564,573,613,584,874,818,470,520,541,480,361,332,407,534,431,564
"Eubacterium siraeum et rel.",33,29,34,51,54,53,40,47,43,32,98,64,40,39,63,58,38,51,54,143,56,39,110,48,42,32,97,110,150,173,106,63,19,56,2,7,56,40,75,83,22,42,42,21
"Eubacterium ventriosum et rel.",516,523,131,146,381,298,646,514,984,1116,535,633,987,881,371,210,242,405,148,163,338,370,291,382,1163,1063,420,523,357,237,583,539,397,385,578,853,457,579,281,323,390,779,911,818
"Faecalibacterium prausnitzii et rel.",3320,3523,3116,2242,3312,1558,2197,1271,378,743,2182,1596,489,259,4288,3389,237,358,1157,927,2258,1083,1157,2486,3428,4447,479,322,3421,2426,1255,1386,3625,4912,1878,1827,2503,1185,648,512,829,1838,1732,1401
"Fusobacteria",1,5,6,3,1,1,1,2,3,7,1,8,1,1,1,1,1,4,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Gemella",7,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,5,1,2,10,1,1,1,1,3,1,1,1,2,1,1,5,1,1,1,13,5,7,1,1,1,1,1,1
"Granulicatella",25,4,9,1,61,1,36,32,22,1,13,6,34,49,5,10,4,11,40,37,1,1,5,3,23,15,1,1,1,5,4,12,1,19,16,65,13,59,10,7,7,10,1,9
"Haemophilus",1,1,1,1,9,18,4,1,1,1,1,8,5,2,1,23,5,6,1,1,1,1,10,1,1,1,167,49,7,1,7,1,1,1,29,150,1,12,1,6,6,8,1,5
"Helicobacter",1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,1,7,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Klebisiella pneumoniae et rel.",8,9,17,13,5,14,6,10,14,13,6,14,7,6,9,28,28,20,18,15,5,9,11,9,6,3,199,39,2,1,1,5,2,4,15,31,4,15,2,5,13,7,2,3
"Lachnobacillus bovis et rel.",691,765,314,350,676,327,463,297,248,234,291,122,242,306,423,481,164,248,152,179,607,160,314,394,328,289,282,213,294,307,386,309,633,496,302,381,316,325,367,334,408,446,416,455
"Lachnospira pectinoschiza et rel.",263,245,289,431,230,286,588,483,162,162,294,144,539,451,388,363,145,216,271,170,418,360,285,345,406,421,216,244,308,337,506,400,303,532,531,617,418,547,363,333,391,316,323,411
"Lactobacillus catenaformis et rel.",1,1,9,1,1,1,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"Lactobacillus gasseri et rel.",9,121,4,3,3,6,12,10,15,3,7,9,1,5,2,1,57,5,23,2,1,2,23,2,19,4,1,2,1,1,1,1,1,18,1,11,8,2,23,15,3,4,1,3
"Lactobacillus plantarum et rel.",1,7,8,9,2,24,3,3,12,15,4,30,1,3,1,11,6,9,7,13,1,23,4,7,3,20,1,3,1,1,1,1,1,1,1,5,3,17,1,1,2,37,1,2
"Lactobacillus salivarius et rel.",2,1,2,1,13,1,5,4,17,2,4,2,5,7,1,1,3,2,4,7,1,1,1,1,1,1,30,41,1,1,1,1,1,1,1,11,1,4,1,1,3,1,2,2
"Lactococcus",5,9,17,1,3,28,4,13,253,6,39,32,713,117,1,2,8,8,134,80,168,194,257,124,24,1,53,1,27,26,4,17,10,36,1,2,42,71,13,3,173,1,12,1
"Leminorella",1,2,4,1,1,1,6,3,3,36,1,5,1,7,1,1,2,8,4,1,2,7,4,7,2,3,1,17,1,1,7,1,1,1,19,34,1,1,1,1,1,1,1,4
"Megamonas hypermegale et rel.",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,59,1,1,1,1
"Megasphaera elsdenii et rel.",1,1,1,3,1,1,1,1,97,105,1,2,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41,51,3,1,1,1,1,1,1,1,1,2
"Methylobacterium",1,1,9,1,1,2,1,1,1,1,1,1,1,1,1,1,20,4,4,7,1,1,1,11,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,8,3
"Micrococcaceae",1,4,14,2,1,1,1,21,2,19,1,6,12,8,1,1,10,11,1,6,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1
"Mitsuokella multiacida et rel.",1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,6,3,1,1,1,1,1,1,1,1,6,1,1,1,1,1,118,2328,1,1,1,1,1,1,1,1,2,1
"Moraxellaceae",1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Novosphingobium",3,40,37,8,1,14,10,52,18,61,6,6,23,29,10,13,23,22,47,38,3,17,20,26,8,11,14,22,10,22,2,2,9,5,17,25,5,9,1,1,15,21,18,9
"Oceanospirillum",1,1,7,1,1,6,1,8,1,10,4,6,4,1,1,1,15,28,1,1,1,1,1,1,1,1,1,1,40,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2
"Oscillospira guillermondii et rel.",265,105,148,143,181,177,631,748,187,216,301,300,196,200,389,647,175,353,161,194,363,497,213,133,107,185,957,930,164,165,522,261,606,293,128,31,163,398,541,473,297,451,609,655
"Outgrouping clostridium cluster XIVa",159,174,183,191,251,261,297,260,322,332,222,154,936,974,162,175,183,193,245,189,203,146,481,584,297,280,152,120,240,188,459,482,474,507,401,620,344,491,195,233,551,562,173,194
"Oxalobacter formigenes et rel.",172,209,269,228,81,89,381,332,166,205,302,409,97,117,48,88,92,112,174,204,326,470,145,129,111,80,507,549,80,120,149,103,68,41,77,157,75,84,243,309,117,84,264,135
"Papillibacter cinnamivorans et rel.",703,706,580,808,421,470,817,479,471,607,352,127,542,350,451,364,329,369,434,695,602,255,574,1109,650,755,183,198,443,388,260,278,380,1012,518,625,456,201,499,326,385,560,758,638
"Parabacteroides distasonis et rel.",372,209,149,182,192,94,38,89,90,128,59,96,382,535,175,131,160,151,157,290,104,166,246,234,251,235,306,314,249,342,79,107,170,55,373,74,354,68,144,109,53,76,187,158
"Peptococcus niger et rel.",16,19,17,19,14,13,43,49,26,10,66,35,18,19,66,96,49,17,8,13,31,39,14,30,15,17,68,115,8,4,28,28,24,28,11,22,20,53,43,51,67,56,13,7
"Peptostreptococcus anaerobius et rel.",1,4,6,8,1,1,7,25,4,5,1,6,2,4,1,1,16,4,5,9,1,1,19,25,2,1,8,1,1,1,2,3,1,1,1,6,7,10,1,1,6,1,1,3
"Peptostreptococcus micros et rel.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"Phascolarctobacterium faecium et rel.",1,1,1,1,1,1,17,16,56,37,6,17,1,1,11,6,9,6,8,2,4,4,12,10,9,9,16,12,9,10,1,9,14,41,20,7,16,2,1,1,1,1,20,28
"Prevotella melaninogenica et rel.",15,1,3,4,13,3,14,22,19,11,4,10,1,22,2660,1009,7,17,4,4,29,7,19,13,283,936,142,1,72,82,8,6,1076,3325,113,3,8,1,32,1,35,28,3,1
"Prevotella oralis et rel.",52,15,23,23,29,8,24,54,53,38,24,32,6,22,398,215,32,38,22,30,20,19,51,42,65,114,42,25,165,207,27,21,102,133,58,11,45,7,23,13,66,66,9,13
"Prevotella ruminicola et rel.",73,32,51,46,47,22,21,53,60,84,42,48,37,63,216,162,72,78,44,55,34,39,75,59,38,40,54,47,102,133,39,44,69,81,81,28,85,18,31,21,32,39,27,17
"Prevotella tannerae et rel.",350,156,97,87,214,106,132,297,128,131,105,117,106,190,137,131,199,203,107,181,65,83,447,514,97,117,303,384,159,243,140,176,92,53,315,71,325,75,136,119,53,77,44,64
"Propionibacterium",7,11,21,13,3,7,6,28,28,45,8,70,7,9,1,1,21,30,9,38,1,11,15,13,2,5,1,2,1,3,6,7,1,1,8,8,9,1,1,1,1,1,5,7
"Proteus et rel.",1,4,3,2,1,1,1,1,1,5,1,5,1,6,1,1,4,3,1,1,1,4,1,1,1,1,1,2,1,1,3,1,1,1,1,11,1,1,1,1,2,3,1,1
"Pseudomonas",2,2,3,8,12,30,11,2,1,1,1,27,10,1,4,41,4,5,1,3,1,1,13,1,1,1,328,56,8,2,1,5,1,5,26,96,1,24,1,7,7,5,1,8
"Roseburia intestinalis et rel.",509,507,1239,1551,932,525,604,569,869,1702,832,321,606,477,990,714,305,519,271,350,1786,537,1004,1464,886,1200,453,329,1906,786,690,649,924,2516,472,575,742,1154,1084,991,1476,2267,691,825
"Ruminococcus bromii et rel.",198,718,923,1983,355,449,1895,1839,220,133,1699,2228,326,211,1686,1978,351,509,34,51,3149,2522,39,23,140,114,2842,1526,392,395,219,385,241,551,22,50,871,1303,1036,1069,274,274,291,203
"Ruminococcus callidus et rel.",51,188,279,312,100,116,326,276,51,42,404,377,64,43,265,261,147,162,40,50,233,314,123,69,50,49,93,80,86,106,166,181,86,93,97,63,181,203,230,153,202,127,73,86
"Ruminococcus gnavus et rel.",298,454,314,351,216,255,295,324,241,196,432,377,772,680,170,201,263,294,243,204,327,330,273,350,334,492,391,250,174,176,457,550,254,375,345,541,413,538,290,317,914,577,141,139
"Ruminococcus lactaris et rel.",1113,888,478,671,898,1236,1065,1047,828,1040,276,161,504,650,389,542,487,461,664,454,322,260,306,303,834,583,473,337,520,1274,326,383,504,863,1094,2023,281,387,314,376,1242,555,1135,851
"Ruminococcus obeum et rel.",887,1545,1343,1632,1794,2435,1646,1498,2517,1733,2027,1972,3195,3571,878,957,1970,2279,2509,2942,1384,1365,1484,1419,1508,1817,251,343,1334,1243,2292,2012,1366,1826,1968,3387,1507,3123,1434,1441,3985,3120,1384,1883
"Serratia",3,1,1,2,16,29,11,1,1,1,1,17,7,8,3,44,9,9,1,1,6,5,17,1,1,1,397,106,10,2,16,7,1,6,36,215,1,23,2,13,12,18,1,5
"Sporobacter termitidis et rel.",125,120,137,128,98,83,287,264,62,52,152,177,83,117,172,248,73,72,58,101,351,456,122,89,72,86,481,491,85,74,160,106,275,134,55,65,59,175,375,334,141,141,321,260
"Staphylococcus",1,17,19,18,1,9,8,37,10,42,2,17,23,16,1,1,16,13,20,24,1,18,8,17,3,1,1,1,1,1,3,1,1,1,5,15,3,12,1,1,13,6,10,9
"Streptococcus bovis et rel.",751,570,188,304,422,417,379,363,628,487,247,198,775,553,128,138,573,260,963,504,241,216,637,258,927,257,242,271,435,423,196,438,169,402,335,842,225,321,564,552,340,300,515,313
"Streptococcus intermedius et rel.",155,128,95,174,111,129,149,158,194,140,71,78,186,223,39,42,147,97,270,208,59,54,157,97,150,71,76,71,122,110,58,101,56,111,124,347,74,108,119,112,129,81,125,71
"Streptococcus mitis et rel.",555,373,227,462,386,419,394,414,745,454,191,200,677,624,101,104,433,264,948,591,163,141,447,225,484,181,220,207,451,359,179,344,155,341,329,1125,172,288,372,353,301,200,375,211
"Subdoligranulum variable at rel.",313,425,1145,741,1105,978,602,704,2006,759,213,615,819,1021,741,926,1264,617,118,106,774,898,553,763,875,617,1802,1534,511,479,901,629,363,454,165,245,282,534,1775,2015,493,548,516,957
"Sutterella wadsworthia et rel.",90,53,104,60,54,48,22,19,29,65,101,97,35,33,26,13,47,51,58,48,14,32,11,18,6,8,34,10,59,70,26,31,7,30,90,63,24,10,44,46,9,6,62,67
"Tannerella et rel.",143,70,52,52,124,84,33,61,42,58,56,63,53,76,53,49,124,108,60,79,43,62,74,62,47,48,64,84,95,144,79,90,86,15,161,48,154,34,133,117,20,21,68,96
"Uncultured Bacteroidetes",66,38,56,33,54,79,147,94,33,47,18,36,56,61,21,25,236,150,30,83,14,29,99,63,23,23,121,145,725,568,26,58,183,10,3253,413,59,14,41,63,18,18,79,79
"Uncultured Chroococcales",1,36,9,1,31,93,1,1,1,1,38,97,1,1,1,1,5,5,9,1,1,1,1,1,63,19,1,1,1,1,44,9,1,1,1,1,1,1,1,4,1,1,214,1
"Uncultured Clostridiales I",50,29,50,45,136,204,1,4,1,8,1,13,2,8,225,83,4,7,22,11,45,68,46,49,205,93,215,311,170,222,58,42,386,19,24,17,4,1,113,280,1,1,110,128
"Uncultured Clostridiales II",8,16,28,30,35,24,17,23,20,16,18,30,9,6,59,60,21,18,20,25,68,84,37,27,5,4,76,71,25,26,59,53,87,28,3,6,4,13,89,107,15,16,29,35
"Uncultured Mollicutes",1,3,6,6,78,89,1,6,1,2,4,7,8,5,88,100,5,10,11,8,1,4,89,14,46,2,54,82,36,41,42,21,144,7,3,4,1,1,35,44,19,13,23,17
"Uncultured Selenomonadaceae",1,1,16,1,1,1,1,1,157,38,1,6,1,1,1,1,25,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,1,39,25,50,50,1,9
"Veillonella",37,13,62,123,44,57,13,25,1,31,1,1,43,17,1,1,8,15,59,4,130,24,29,57,2,2,1,1,144,124,1,11,21,20,170,93,29,8,2,7,1,1,6,14
"Weissella et rel.",2,6,8,5,9,17,8,9,52,23,27,9,49,45,1,3,45,14,59,18,5,13,18,17,17,3,1,4,1,58,1,13,1,10,15,29,30,25,1,1,3,1,15,1
"Vibrio",5,8,9,8,9,16,5,13,12,10,3,15,10,17,1,5,16,18,14,13,8,14,18,14,4,3,37,34,5,1,18,10,5,1,14,54,6,7,1,2,9,11,5,4
"Wissella et rel.",14,30,8,3,14,3,17,10,40,4,59,7,1,3,1,1,25,6,29,1,19,5,1,23,23,20,1,1,1,9,1,6,2,6,11,7,52,10,1,1,1,13,2,1
"Xanthomonadaceae",66,40,30,22,9,6,18,11,20,23,1,18,5,1,3,2,30,12,17,15,1,18,4,13,9,4,16,7,1,2,1,9,6,18,16,20,17,17,1,1,16,13,8,10
"Yersinia et rel.",1,8,11,8,1,2,1,5,2,9,1,10,1,1,1,3,14,11,5,4,1,3,1,6,1,1,28,1,1,1,1,1,1,1,4,8,1,1,1,1,1,1,1,2
